Date,Open,High,Low,Close,Volume,Adj Close
02/01/2015,111.63,113,110.85,112.58,5898800,111.48471
31/12/2014,111.65,113.31,111.53,112.18,6411800,111.0886
30/12/2014,112.93,113.65,112.15,113.11,5659500,112.00955
29/12/2014,113.44,114.38,112.78,113.32,6043000,112.21751
26/12/2014,113.93,114.35,112.82,113.25,4380400,112.14819
24/12/2014,113.66,114.14,112.07,113.47,4536500,112.36605
23/12/2014,112.76,114.45,112.32,113.95,8092000,112.84138
22/12/2014,112.36,112.99,111.07,112.03,9433500,110.94006
19/12/2014,109.53,112.96,108.5,112.93,15723300,111.8313
18/12/2014,108.01,109.03,105.49,109.03,13533000,107.96925
17/12/2014,102.18,106.59,102.01,106.02,13354000,104.98853
16/12/2014,100.5,104.47,100.15,101.7,12722200,100.71056
15/12/2014,103.13,103.91,100.42,100.86,13144200,99.87873
12/12/2014,103.76,104.35,102.37,102.38,12013600,101.38394
11/12/2014,104.97,107.27,104.3,104.91,10293600,103.88933
10/12/2014,106.22,106.25,103.07,104.86,15073400,103.83981
09/12/2014,106.17,108.15,106.13,107.01,11053000,105.9689
08/12/2014,109.89,109.94,106.41,106.8,13809000,105.76094
05/12/2014,111.79,112.29,110.71,110.87,7663400,109.79134
04/12/2014,113.08,113.08,111.01,112.28,8100700,111.18762
03/12/2014,114.74,114.82,113.15,113.71,8049800,112.60371
02/12/2014,111.27,114.56,110.89,114.02,8513500,112.91069
01/12/2014,109.38,112.49,108.68,111.73,13400100,110.64298
28/11/2014,111.59,111.69,108.43,108.87,11935600,107.81081
26/11/2014,116.07,116.35,115.02,115.11,6715100,113.99009
25/11/2014,117.8,117.82,115.63,116.15,6665000,115.01997
24/11/2014,118.13,118.58,117.15,117.59,5807300,116.44596
21/11/2014,118.79,118.91,117.73,118.58,7361400,117.42633
20/11/2014,116.16,117.47,116.16,117.31,5263000,116.16869
19/11/2014,115.97,116.68,115.07,116.47,4270300,115.33686
18/11/2014,115.97,116.63,115.25,115.47,5672800,114.34659
17/11/2014,115.96,116.15,115.27,115.75,5713700,114.62386
14/11/2014,115.7,116.35,115.42,116.32,4891600,115.18832
13/11/2014,117.09,117.47,115.64,116.45,11019000,114.25746
12/11/2014,117.86,118.71,117.38,117.65,4923400,115.43487
11/11/2014,117.95,118.67,117.3,118.44,3957000,116.21
10/11/2014,119.58,119.67,117.31,117.92,6114600,115.69978
07/11/2014,118.75,119.73,118.36,118.8,7366600,116.56322
06/11/2014,116.9,118.55,116.36,118.53,6383800,116.29829
