Date,Open,High,Low,Close,Volume,Adj Close
02/01/2015,42.26,42.4,41.8,42.14,9921100,41.79321
31/12/2014,42.92,42.94,42.22,42.22,9369500,41.87255
30/12/2014,42.74,42.99,42.65,42.76,9222000,42.40811
29/12/2014,42.8,43.06,42.49,42.86,8694500,42.50729
26/12/2014,42.97,43.3,42.93,42.96,6466900,42.60646
24/12/2014,43.1,43.23,42.92,42.94,6405900,42.58663
23/12/2014,42.54,43.14,42.47,42.97,13411300,42.61638
22/12/2014,42.14,42.44,42.09,42.35,11190900,42.00148
19/12/2014,42.44,42.79,41.89,41.95,24009500,41.60477
18/12/2014,41.86,42.39,41.75,42.39,18030700,42.04115
17/12/2014,40.44,41.76,40.38,41.55,20223900,41.20807
16/12/2014,40.2,41.31,39.8,40.39,23475400,40.05761
15/12/2014,41.13,41.18,40.56,40.57,23378500,40.23613
12/12/2014,41.39,41.61,40.87,40.91,18432400,40.57333
11/12/2014,41.62,42.01,41.5,41.53,16201500,41.18823
10/12/2014,42.04,42.24,41.56,41.6,18324100,41.25765
09/12/2014,42.15,42.53,41.67,42.04,25714600,41.69403
08/12/2014,43.51,43.63,43.09,43.14,12802300,42.78498
05/12/2014,43.5,43.61,43.2,43.53,12536900,43.17177
04/12/2014,43.62,43.84,43.37,43.5,13779700,43.14202
03/12/2014,44.42,44.44,43.76,43.8,15246500,43.43955
02/12/2014,44.37,44.67,44.23,44.54,9862400,44.17346
01/12/2014,44.18,44.77,44.13,44.55,10065700,44.18338
28/11/2014,44.15,45,44.15,44.83,10502000,44.46107
26/11/2014,43.99,44.37,43.97,44.29,9199200,43.92552
25/11/2014,44.27,44.59,44.12,44.43,10741700,43.76188
24/11/2014,44.51,44.78,44.2,44.27,12890800,43.60428
21/11/2014,44.58,44.74,44.28,44.5,14382600,43.83083
20/11/2014,43.96,44.42,43.85,44.25,13465200,43.58458
19/11/2014,43.67,44.43,43.56,44.22,25400600,43.55503
18/11/2014,42.95,43.86,42.75,43.53,26143000,42.87541
17/11/2014,42.75,42.99,42.73,42.92,10664000,42.27458
14/11/2014,42.7,42.97,42.5,42.73,10939500,42.08744
13/11/2014,42.65,43.08,42.63,42.79,12006900,42.14654
12/11/2014,42.51,42.89,42.31,42.71,12767900,42.06774
11/11/2014,42.38,42.71,42.36,42.51,8563700,41.87075
10/11/2014,42.25,42.57,42.09,42.39,9088900,41.75255
07/11/2014,42.45,42.46,42.14,42.32,11803800,41.68361
06/11/2014,42.43,42.62,42.11,42.29,11528800,41.65406
05/11/2014,42.3,42.54,41.99,42.31,20676800,41.67376
04/11/2014,41.77,42.05,41.66,41.82,10105300,41.19112
03/11/2014,41.79,42.28,41.59,41.81,13230600,41.18128
31/10/2014,41.83,41.89,41.4,41.88,18477700,41.25023
30/10/2014,41,41.59,40.83,41.4,18295600,40.77744
29/10/2014,40.65,41.03,40.52,40.96,25761800,40.34406
28/10/2014,40.76,40.86,40.51,40.56,18658700,39.95007
27/10/2014,40.7,40.91,40.56,40.76,17222500,40.14706
24/10/2014,40.98,41.27,40.92,41.03,13396000,40.413
23/10/2014,40.94,41.38,40.74,40.86,23346800,40.24556
22/10/2014,40.19,41.11,40.1,40.62,27728200,40.00917
21/10/2014,40.8,41.19,40.26,40.68,55953500,40.06827
20/10/2014,42.75,43.47,42.71,43.29,17647800,42.63902
17/10/2014,42.69,43.03,42.31,42.88,23236000,42.23519
16/10/2014,42.65,42.94,42.38,42.56,22519200,41.92
15/10/2014,42.7,43.53,42.7,43.23,22988600,42.57992
14/10/2014,44.04,44.12,43.47,43.64,21027400,42.98376
13/10/2014,44.28,44.63,44.03,44.07,20175200,43.40729
10/10/2014,43.88,44.87,43.85,44.47,25920800,43.80128
09/10/2014,44.44,44.75,43.87,43.87,25029300,43.2103
08/10/2014,43.58,44.56,43.51,44.55,26115600,43.88007
07/10/2014,43.48,44.14,43.48,43.92,24936600,43.25954
06/10/2014,43.03,43.68,42.97,43.6,20328100,42.94436
03/10/2014,42.86,43.07,42.66,43,14046300,42.35338
02/10/2014,42.6,42.78,42.42,42.66,16643200,42.01849
01/10/2014,42.55,42.85,42.37,42.74,30409700,42.09729
30/09/2014,42.1,42.81,42.08,42.66,22613700,42.01849
29/09/2014,41.9,42.26,41.88,42.25,12441100,41.61466
26/09/2014,42,42.25,41.71,42.2,9939600,41.56541
25/09/2014,42.06,42.17,41.77,41.78,11076300,41.15173
24/09/2014,41.85,42.34,41.85,42.27,13540900,41.63436
