Date,Open,High,Low,Close,Volume,Adj Close
2015-01-02,92.25,93.05,91.81,92.83,10220400,92.13649
2014-12-31,92.42,93.13,92.06,92.45,11337200,91.75932
2014-12-30,92.77,93.39,92.51,93.02,8743400,92.32507
2014-12-29,93.33,93.86,92.89,93.07,9892100,92.37469
2014-12-26,93.99,94.43,92.62,93.21,10581500,92.51365
2014-12-24,94.22,94.25,92.98,93.78,6875700,93.07939
2014-12-23,93.52,95.18,93.05,94.59,13706500,93.88333
2014-12-22,92.96,93.67,92.45,93.33,17871800,92.63275
2014-12-19,90.21,93.64,89.61,93.64,38469000,92.94044
2014-12-18,90.37,91.16,88.40,91.16,22882700,90.47897
2014-12-17,87.24,89.90,87.15,89.02,23323000,88.35495
2014-12-16,86.38,89.20,86.19,86.41,26372400,85.76445
2014-12-15,87.53,88.60,86.50,86.90,21373600,86.25079
2014-12-12,88.71,89.00,86.60,86.60,24568300,85.95303
2014-12-11,88.86,91.54,88.85,89.20,21522200,88.5336
2014-12-10,90.72,90.73,88.20,88.67,22279400,88.00756
2014-12-09,91.23,92.06,90.76,91.38,15883800,90.69732
2014-12-08,92.90,93.13,91.37,91.70,15735900,91.01492
2014-12-05,93.95,94.59,93.35,93.82,11831900,93.11909
2014-12-04,94.13,94.61,93.07,94.37,12868600,93.66499
2014-12-03,94.67,95.33,94.00,94.95,16220400,94.24065
2014-12-02,92.32,94.67,92.01,94.19,20805000,93.48633
2014-12-01,90.36,92.87,90.28,92.35,27584200,91.66007
2014-11-28,91.50,91.85,90.11,90.54,19556700,89.86359
2014-11-26,94.64,95.13,94.36,94.48,9822100,93.77416
2014-11-25,96.01,96.03,94.37,94.78,13747400,94.07191
2014-11-24,96.34,96.80,95.25,95.72,10170600,95.0049
2014-11-21,97.20,97.20,96.10,96.81,12374200,96.08675
2014-11-20,95.37,95.90,95.26,95.82,8418600,95.10415
2014-11-19,95.08,95.74,94.13,95.61,8331600,94.89572
2014-11-18,95.08,95.75,94.53,94.87,9263200,94.16125
2014-11-17,94.85,95.14,94.19,95.11,8703900,94.39945
2014-11-14,94.87,95.11,94.65,95.09,9351100,94.3796
2014-11-13,94.96,95.21,93.83,94.66,12354900,93.95282
2014-11-12,95.90,96.40,95.11,95.38,11592800,94.66743
2014-11-11,95.78,96.51,95.61,96.41,7990000,95.68974
2014-11-10,96.87,97.10,96.07,96.28,9087600,95.56071
2014-11-07,95.80,97.16,95.72,96.59,13233500,95.86839
2014-11-06,95.18,96.42,94.28,96.26,14731400,94.85602
2014-11-05,95.36,95.77,94.65,95.07,12480000,93.68337
2014-11-04,94.50,94.89,93.89,94.52,13498500,93.1414
2014-11-03,96.56,97.10,94.80,95.26,13410000,93.87061
2014-10-31,94.99,96.89,94.31,96.71,17493700,95.29945
2014-10-30,93.87,94.67,93.22,94.45,9765400,93.07241
2014-10-29,95.42,95.98,93.62,94.59,12409100,93.21037
2014-10-28,94.44,95.20,93.93,95.10,12564100,93.71294
2014-10-27,93.85,93.85,92.77,93.71,11387700,92.34321
2014-10-24,94.19,94.53,93.22,94.49,9734100,93.11183
2014-10-23,94.31,94.98,93.87,94.11,11345100,92.73737
2014-10-22,93.96,94.59,92.98,93.13,12733600,91.77167
2014-10-21,92.86,94.03,92.36,93.65,15757000,92.28409
2014-10-20,90.63,91.89,90.63,91.77,10821700,90.4315
2014-10-17,91.13,92.25,90.50,91.21,18189200,89.87967
2014-10-16,88.58,91.27,88.18,90.60,25212600,89.27857
2014-10-15,89.00,90.61,86.91,90.22,24703500,88.90411
2014-10-14,91.49,92.23,90.06,90.55,23120500,89.2293
2014-10-13,91.32,92.53,90.76,90.84,14451100,89.51507
2014-10-10,92.44,93.27,90.90,91.60,18173100,90.26398
2014-10-09,94.05,94.49,91.63,91.82,17915600,90.48077
2014-10-08,93.42,94.83,92.42,94.61,15583700,93.23009
2014-10-07,94.27,95.19,93.33,93.37,10787900,92.00817
2014-10-06,94.01,95.33,93.91,94.52,10595400,93.1414
2014-10-03,93.60,94.11,92.58,93.92,11563000,92.55015
2014-10-02,92.39,93.90,92.06,93.30,13756500,91.93919
2014-10-01,94.11,94.54,92.72,92.86,14028600,91.50561
2014-09-30,94.11,94.81,93.62,94.05,15576500,92.67825
2014-09-29,94.71,94.78,93.80,94.43,14015000,93.05271
2014-09-26,94.33,95.76,93.80,95.43,11256800,94.03812
2014-09-25,95.66,95.89,94.20,94.25,12854200,92.87534
2014-09-24,95.87,96.25,94.84,95.82,12200000,94.42243
2014-09-23,96.28,97.16,96.03,96.03,10300700,94.62937
2014-09-22,96.90,97.00,96.27,96.54,8816900,95.13194
2014-09-19,97.08,97.56,96.87,97.12,18178100,95.70348
2014-09-18,97.15,97.32,96.48,96.61,8636600,95.20091
2014-09-17,97.91,97.93,96.80,97.08,8774200,95.66406
2014-09-16,96.23,98.05,96.02,97.43,11574100,96.00895
2014-09-15,95.73,96.40,95.40,96.29,10689400,94.88558
2014-09-12,96.53,96.59,95.63,95.78,10270100,94.38302
2014-09-11,96.32,97.12,95.82,97.03,10181100,95.61478
2014-09-10,97.36,97.53,95.83,96.81,12113700,95.39799
2014-09-09,97.69,98.03,96.96,97.39,9756400,95.96954
2014-09-08,98.92,98.92,97.45,97.77,10080100,96.34399
2014-09-05,98.74,99.30,98.11,99.26,9476900,97.81226
2014-09-04,99.00,99.45,97.97,98.36,9662900,96.92539
2014-09-03,98.86,99.59,98.86,99.11,8475100,97.66445
2014-09-02,99.43,99.59,97.81,98.49,8957100,97.05349
2014-08-29,99.38,99.67,98.72,99.46,8873700,98.00935
2014-08-28,99.04,99.74,99.01,99.57,6072700,98.11774
2014-08-27,99.78,99.96,99.09,99.53,5848700,98.07832
2014-08-26,99.12,100.31,99.02,99.64,8536500,98.18672
2014-08-25,98.81,98.90,98.50,98.75,7569800,97.3097
2014-08-22,98.89,98.98,98.08,98.50,8095000,97.06335
2014-08-21,99.80,100.07,99.26,99.28,6826200,97.83197
2014-08-20,99.55,99.90,99.04,99.70,6751800,98.24584
2014-08-19,99.50,99.95,99.43,99.49,8888100,98.0389
2014-08-18,99.28,99.53,99.10,99.52,7135400,98.06847
2014-08-15,99.24,99.43,98.14,99.03,9226900,97.58562
2014-08-14,99.10,99.28,98.60,99.09,6547300,97.64474
2014-08-13,98.82,99.31,98.48,99.09,7649600,97.64474
2014-08-12,98.21,98.69,97.82,98.49,9583700,97.05349
2014-08-11,99.28,99.42,98.54,98.73,8589600,97.28999
2014-08-08,98.81,99.79,98.32,99.74,11199300,97.60532
2014-08-07,99.77,99.84,97.63,98.27,10017100,96.16679
2014-08-06,98.20,99.65,98.20,98.98,9911300,96.8616
2014-08-05,99.48,99.54,97.78,98.20,13069400,96.09828
2014-08-04,98.74,100.43,98.31,100.13,12148200,97.98698
2014-08-01,98.62,99.55,98.18,98.80,14915000,96.68545
2014-07-31,101.98,101.98,98.93,98.94,18291800,96.82246
2014-07-30,103.73,104.15,102.57,103.25,11072100,101.04021
2014-07-29,104.21,104.76,103.52,103.55,8055400,101.33379
2014-07-28,103.29,104.52,102.83,104.37,9197800,102.13624
